Species,Code,Lure,Country,Site,Lat,Long,Elevation (m) (google earth),Trapping dates,Habitat,Collectors,#
Bactrocera arisanica,Taiwan 011,,Taiwan,"Nantou Co., Lugu, Xitou Exper. Forest",23.6731,120.8020,1249,23-x-2013,,,1
Bactrocera dorsalis,Taiwan 006,,Taiwan,"Nantou Co., Fenghuanggu Bird park",23.9189,120.8806,807,23-x-2013,,,1
Bactrocera dorsalis,FF281,CL,Taiwan,Nantou Co. Jiji Township,23.8251,120.7669,246,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,1
Bactrocera dorsalis,FF336,hand-coll.,Taiwan,Chaiyi Co. Alishan mountain,23.4431,120.6680,1141,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Bactrocera dorsalis,FF339,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4810,120.6963,1345,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Bactrocera dorsalis,FF341,ME,Taiwan,Chaiyi Co. Alishan mountain,23.5055,120.6940,1412,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Bactrocera dorsalis,FF346,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4667,120.6133,673,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Bactrocera dorsalis,17TA001ME,ME,Taiwan,"Nantou Co., Sun Moon lake national scenic area",23.8522,120.8980,813,24-Sep-16,,Y. F. Hsu,1
Bactrocera dorsaloides,FF303,CL,Taiwan,Taitung Co. Lanyu Island,22.0238,121.5949,28,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera dorsaloides,FF321,CL,Taiwan,Taitung Co. Lanyu Island,22.0764,121.5095,165,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera nigrifacia,FF311,CL,Taiwan,Taitung Co. Lanyu Island,22.0347,121.5585,201,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF304,ME,Taiwan,Taitung Co. Lanyu Island,22.0146,121.5961,25,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF312,ME,Taiwan,Taitung Co. Lanyu Island,22.0367,121.5585,315,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF315,ME,Taiwan,Taitung Co. Lanyu Island,22.0338,121.5652,170,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF316,ME,Taiwan,Taitung Co. Lanyu Island,22.0543,121.5621,32,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF317,ME,Taiwan,Taitung Co. Lanyu Island,22.0829,121.5661,31,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF319,ME,Taiwan,Taitung Co. Lanyu Island,22.0729,121.5103,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF320,ME,Taiwan,Taitung Co. Lanyu Island,22.0810,121.5047,200,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF321,ME,Taiwan,Taitung Co. Lanyu Island,22.0764,121.5095,165,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Bactrocera occipitalis,FF322,ME,Taiwan,Taitung Co. Lanyu Island Tatientsu Lake trail,22.0131,121.5707,127,3-viii-2014,Native forest.,Daniel Rubinoff & Michael San Jose,1
Bactrocera rubigina,FF364,CL,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4562,120.5228,154,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,1
Bactrocera rubigina,,CL,Taiwan,"Nantou Co., Huisun Experimental forest",24.0666,121.0167,1294,9-vii-2015,,Chia-Lung Huang (Biogun),1
Dacus formosanus,FF334,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4418,120.6590,955,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cilifer,FF328,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4209,120.6159,528,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cilifer,,CL,Taiwan,"Taitung: Luye, Lungtien",22.9580,121.1595,176,28-viii-2015,,,1
Zeugodacus cucurbitae,FF276,ZN,Taiwan,Nantou Co. Jiji Township,23.8276,120.8021,326,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF277,CL,Taiwan,Nantou Co. Jiji Township,23.8284,120.8104,296,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF284,CL,Taiwan,Pingtung Co. Kenting National Park,21.9822,120.7338,71,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF285,CL,Taiwan,Pingtung Co. Kenting National Park,21.9754,120.7344,31,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF287,CL,Taiwan,Pingtung Co. Kenting National Park,21.9558,120.7337,58,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF295,CL,Taiwan,Pingtung Co. Kenting National Park,21.9434,120.8374,86,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF304,CL,Taiwan,Taitung Co. Lanyu Island,22.0146,121.5961,25,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF317,CL,Taiwan,Taitung Co. Lanyu Island,22.0829,121.5661,31,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF319,CL,Taiwan,Taitung Co. Lanyu Island,22.0729,121.5103,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,1
Zeugodacus cucurbitae,FF358,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4834,120.6857,940,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus scutellatus,FF329,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4200,120.6117,548,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus scutellatus,FF330,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4195,120.6121,585,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus scutellatus,FF331,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4371,120.6169,491,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus scutellatus,FF332,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4395,120.6268,627,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
Zeugodacus scutellatus,FF354,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4704,120.6508,685,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,1
