Species,County,locality,Lat,Long,Source,Comments
Bactrocera costalis,,Kuranu,,,Lectotype designation by Drew & Romig (2013),
Bactrocera costalis,,Pinan,,,Paralectotype designation by Drew & Romig (2013),
Bactrocera costalis,,"Hualien, Taitung",,,Type Locality,
Bactrocera dorsalis,,Taipei,25.0911,121.5598,Bishop Museum specimen labels,
Bactrocera dorsalis,Chiayi,Chiayi (= Kagi),23.4754,120.4473,Drew & Hancock 1994,
Bactrocera dorsalis,,Fen Chi Hu,24.6766,120.9683,Drew & Hancock 1994,
Bactrocera dorsalis,Pingtung,Koshun (ancient name for Hengchun),22.0424,120.7377,Drew & Hancock 1994,
Bactrocera dorsalis,,Mei Feng,24.1000,121.1667,Drew & Hancock 1994,
Bactrocera dorsalis,,Kaohsiung,23.0109,120.6660,Drew & Romig 2013,
Bactrocera dorsalis,,Kaoshiung,23.0109,120.6660,Tseng et al. 1992,Type locality of synonymous Dacus semifemoralis
Bactrocera dorsalis,,"Yilan City, Yilan Hsien",24.6930,121.7195,Tseng et al. 1992,Type locality of the synonymous Dacus yilanensis
Bactrocera hyalina,,"Taipingshan, Yilan Hsien",24.4945,121.5337,Type locality,
Bactrocera latifrons,,"Kanshierei, Formosa",23.3347,120.5002,"Co-type of Dacus parvulus, cited by Drew & Romig 2013",
Bactrocera latifrons,,"Kukuan, Taichung Hsien",24.2027,121.0038,Tseng et al. 1992,
Bactrocera latifrons,Nantou,"Tongpu (1200m), Nantou Hsien",23.5632,120.9256,Tseng et al. 1992,
Bactrocera latifrons,?,Formosa Sauter; Tainan,,,Type locality,
Bactrocera obscurata,,"Pingtung Co., Kenting Park, 50m",21.9482,120.7809,Drew & Romig 2013,Type locality of synonymous B. heppneri
Bactrocera occipitalis,,"Wafeng Hill, Taichung Hsien",,,Tseng et al. 1992,
Bactrocera okunii,,Kotosho,22.0245,121.5560,Drew & Romig 2013,Kotosho island=Lanyu island=Orchid island
Bactrocera okunii,,"Lanyu island, Taiwan",22.0245,121.5560,Type locality,
Bactrocera parvula,,Kanshirei,23.3347,120.5002,Drew & Romig 2013,Kanshirei=Kuantseling Hot Spring
Bactrocera parvula,,Tainan,,,Tseng et al. 1992,
Bactrocera parvula,Tainan,"Kuantseling, Tainan Hsien",23.3347,120.5002,Type locality,
Bactrocera pernigra,,"Lishan (1900m), Taichung Hsien",24.2546,121.2518,Tseng et al. 1992,
